n_faults,slowdown,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
4,3.0,fixed_speculation,1,98075,16.26667070388794,140730,0.01895694261770042,0.017955442488075235,0.031139592276507595,0.04715659745177043,0.08993585365996373,0.14201908407226327,2.6263121882453513,2558.7272727272725,2535.7272727272725,0.008988843885454416,0,0.016563632487742487
4,3.0,fixed_speculation,5,34065,16.24519658088684,140969,0.018810799562046617,0.01737530447575608,0.030335588768961596,0.07030725380386577,0.10238166149742318,0.13586133553958035,4.04638974252026,2563.072727272727,2512.0363636363636,0.019912179273457287,0,0.036015010392355766
4,3.0,fixed_speculation,9,70055,16.35287070274353,141124,0.01886880350879066,0.017437169389056706,0.030375851880072528,0.07163283456808915,0.10621704693617302,0.14549497571314163,4.108054063697105,2565.890909090909,2515.181818181818,0.01976276182647884,41,0.0350613644737961
4,3.0,fixed_shedding,0,63714,16.286944150924683,140826,0.018785823490928194,0.017298545284265998,0.030843773166122634,0.06965257293661087,0.10416114348038487,0.14259756846396243,4.026498864038227,2560.4727272727273,2509.1454545454544,0.020046014230326786,28,0.037180634257878514
4,3.0,fixed_shedding,5,29299,16.33286762237549,140720,0.018797519586322156,0.017327771915722323,0.030753907586786224,0.07069438107380022,0.10530031153625564,0.14278814902978,4.079831002949421,2558.5454545454545,2506.1272727272726,0.020487492893689598,19,0.03691728254690165
4,3.0,fixed_shedding,3,31358,16.418889045715332,140484,0.01868671268198829,0.017224554339658305,0.030071892080411923,0.06987247786397009,0.10367577336344767,0.13588087742602184,4.056562305539233,2554.2545454545457,2500.690909090909,0.02097035961390621,0,0.03795450015660146
4,3.0,fixed_shedding,2,21833,16.46454405784607,141113,0.01884490698027851,0.01736313219527119,0.030409560859560245,0.07206294010353849,0.10612333274345614,0.14022735199720415,4.150342190170312,2565.690909090909,2512.6363636363635,0.020678463359151886,6,0.0368215543571464
4,3.0,fixed_shedding,4,27724,16.526355981826782,140999,0.01877547420346041,0.017348955058274385,0.030335817142502473,0.06969776683761689,0.10340379396174061,0.14430405388734258,4.0174043107210275,2563.6181818181817,2512.7636363636366,0.019837020120710074,52,0.0360569933120093
4,3.0,fixed_isolation,1,10198,16.100611448287964,140683,0.019064090473505123,0.018368640060863584,0.03132302890982288,0.03818603056204949,0.05665139243107393,0.11946947374710426,2.0788708600920898,2557.8727272727274,2554.927272727273,0.0011515250598864114,0,0.0013363377238187982
4,3.0,fixed_shedding,1,91536,16.67271375656128,140305,0.01864273804229545,0.017142310660130278,0.03014875933439213,0.07185589839832049,0.10596168924090073,0.1445559471503559,4.1917276977976785,2551.0,2498.5636363636363,0.02055521898720644,0,0.03723317059263747
