n_faults,slowdown,baseline,metric,mean,ci_95,min,max,n
4,5.0,fixed_speculation,affected_ratio,0.0018038016321341361,0.0014814660421926611,0.0007792520597048759,0.006973092570123475,10
4,5.0,no_mitigation,p99_latency,0.1858459380246049,0.0007164334457645844,0.18436511247586837,0.1875910998603992,10
4,5.0,no_mitigation,p999_latency,0.23467705651206278,0.0010361448815244508,0.23135186447369302,0.23619603079257734,10
4,5.0,no_mitigation,p95_latency,0.0358166334572121,0.0002254753771043845,0.03515262534070018,0.03614464946945617,10
4,5.0,no_mitigation,p50_latency,0.01823215485564056,9.59794080987261e-05,0.018052379446398703,0.018449832536646227,10
4,5.0,no_mitigation,avg_latency,0.023308881167765937,0.00012411874250984744,0.023044388648295024,0.023597117342156766,10
4,5.0,no_mitigation,max_latency,0.2932664614885997,0.004606797303180397,0.2816163974450987,0.301137926624353,10
4,5.0,no_mitigation,tail_ratio,10.193498152779364,0.029825819667750844,10.117662701270573,10.257210662333845,10
4,5.0,no_mitigation,throughput,2558.907272727273,5.588780937038447,2545.890909090909,2567.2181818181816,10
4,5.0,no_mitigation,goodput,2478.901818181818,5.585001876430484,2465.8545454545456,2487.2363636363634,10
4,5.0,no_mitigation,slo_violation_rate,0.03126573285837247,6.990928863167918e-05,0.031155052869395242,0.03143746786265212,10
4,5.0,no_mitigation,affected_ratio,0.031246558230419552,6.958275755585992e-05,0.031140888262498494,0.03140890133120037,10
4,10.0,adaptive,p99_latency,0.44038548580952164,0.006431167825466873,0.43107038767452915,0.45754714588082546,10
4,10.0,adaptive,p999_latency,0.6090731291468149,0.01462626714117639,0.5823591927738235,0.6549224087397699,10
4,10.0,adaptive,p95_latency,0.036506144466249155,0.00016648662188926245,0.036227876977556736,0.036790379879982286,10
4,10.0,adaptive,p50_latency,0.019081091822581886,9.486008290947197e-05,0.01886628265455137,0.019322869232858864,10
4,10.0,adaptive,avg_latency,0.02703674654956703,0.00018374553059753176,0.02669875641595759,0.027369987722668885,10
