load_factor,n_faults,fault_fraction,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
0.7,4,0.125,adaptive,6,88518,13.771420001983643,123035,0.015645568582164655,0.014928756466069615,0.02657575435973758,0.029856694063879384,0.038577516307629865,0.1794130032401764,1.9999451482605597,2237.0,2235.4727272727273,0.0006827325557768115,0,0.0007152436298614215
0.7,4,0.125,adaptive,4,86459,13.938382863998413,123446,0.014915548521654776,0.013859503023999409,0.02515901074406912,0.029034705316780058,0.037194583519695394,0.19493896767881314,2.09493120110461,2244.4727272727273,2242.981818181818,0.0006642580561541079,0,0.0007209630121672634
0.7,4,0.125,no_mitigation,0,83677,13.71915078163147,123031,0.01906190903027701,0.013989094664850654,0.028931385517733332,0.14667865446612607,0.19209188184871567,0.24764772719330352,10.485214231530971,2236.927272727273,2157.2727272727275,0.03560891157513147,0,0.03572270403394266
0.7,4,0.125,no_mitigation,2,18382,13.660017728805542,123024,0.018885088785743874,0.013899827729430214,0.028700742170062993,0.14541683089652863,0.19105955702043642,0.2457585367375721,10.46177216920728,2236.8,2157.163636363636,0.03560280920795942,0,0.0357247366367538
0.7,4,0.125,adaptive,2,84400,14.098620891571045,123264,0.015183869842667414,0.01425243799874476,0.025680472460272507,0.029374272812986737,0.038029152508352156,0.2146998313705204,2.060999866519243,2241.163636363636,2239.6545454545453,0.0006733515057113188,0,0.0007058021806853582
0.7,4,0.125,adaptive,5,66732,13.995419263839722,123368,0.014915999315923176,0.01385101930934951,0.02515780658931774,0.02902816084631983,0.037712004619578576,0.19839344606939147,2.0957418510510393,2243.0545454545454,2241.490909090909,0.000697101355294728,0,0.0007295246741456455
0.7,4,0.125,no_mitigation,3,16807,13.689153671264648,123117,0.018921974543789338,0.013952802986409552,0.028851379815070643,0.14508583027061261,0.18927052285321333,0.24146907710499654,10.398328594758384,2238.490909090909,2158.836363636364,0.035584037947643296,0,0.03570587327501482
0.7,4,0.125,adaptive,7,32801,13.928869485855103,122876,0.015736935452853464,0.015040145173913277,0.02673515825021955,0.029974262923968542,0.03901676723720466,0.18988487285866196,1.992950372311438,2234.109090909091,2232.6,0.0006754777173736124,0,0.0007080308603795697
0.7,4,0.125,adaptive,8,22449,13.929076194763184,122881,0.01482557086823638,0.0137132117489287,0.024973979263227974,0.028930946794136502,0.03660350096594123,0.19300553841364732,2.109713415341715,2234.2,2232.6545454545453,0.0006917261415515825,0,0.0007242779599775393
0.7,4,0.125,no_mitigation,1,14748,13.9092435836792,123371,0.019079899777396055,0.014102618240539044,0.028923015719207967,0.1463388587343417,0.19144555396489196,0.24621615933011753,10.376715602616226,2243.109090909091,2163.4363636363637,0.035518882071151246,0,0.03564857219281679
