load_factor,n_faults,fault_fraction,baseline,metric,mean,ci_95,min,max,n
0.8,4,0.125,adaptive,p99_latency,0.048083858105618646,0.023157904462972174,0.03744787554830882,0.14021418506092767,10
0.8,4,0.125,adaptive,p999_latency,0.07386560581418714,0.03990837655148688,0.047571669943245416,0.20584719988840966,10
0.8,4,0.125,adaptive,p95_latency,0.031230948172041993,0.0005518422611956146,0.030658016046455613,0.03315080403188996,10
0.8,4,0.125,adaptive,p50_latency,0.01844243421426972,7.648606525605708e-05,0.018289777273434282,0.01866140316055187,10
0.8,4,0.125,adaptive,avg_latency,0.019335277317268567,0.00041246239339735955,0.018997060861469517,0.020932442046326095,10
0.8,4,0.125,adaptive,max_latency,0.2528151387941927,0.016835662662015975,0.21529992601856485,0.2864590173282542,10
0.8,4,0.125,adaptive,tail_ratio,2.6052968013733038,1.249378043375724,2.032989588961509,7.575770838690894,10
0.8,4,0.125,adaptive,throughput,2559.670909090909,4.537446315103966,2550.8,2568.6181818181817,10
0.8,4,0.125,adaptive,goodput,2553.4781818181814,6.216887326343448,2534.163636363636,2566.0,10
0.8,4,0.125,adaptive,slo_violation_rate,0.0024147867133094457,0.002811795456953969,0.0008264462809917355,0.013246017699115044,10
0.8,4,0.125,adaptive,affected_ratio,0.0025205357212295864,0.0028649584965891673,0.0008441632143465184,0.013323893805309734,10
0.8,4,0.125,no_mitigation,p99_latency,0.1852784207080728,0.0006936895388170381,0.18362620780060354,0.18657163084679956,10
0.8,4,0.125,no_mitigation,p999_latency,0.23435392946047942,0.001871865582729585,0.23009394524308655,0.23786693839622888,10
0.8,4,0.125,no_mitigation,p95_latency,0.03581040816534809,0.00018311121559660745,0.035433664491191494,0.036166334303356876,10
0.8,4,0.125,no_mitigation,p50_latency,0.018238392258846582,7.363203720462973e-05,0.01805938036964072,0.018397627308285536,10
0.8,4,0.125,no_mitigation,avg_latency,0.023299650364277023,9.359311891337257e-05,0.023102365753718924,0.023447176480127518,10
0.8,4,0.125,no_mitigation,max_latency,0.30435313148115856,0.0136962820630127,0.28137520821471895,0.33941347479812123,10
0.8,4,0.125,no_mitigation,tail_ratio,10.158883053474307,0.042883264653294985,10.060841181508406,10.246706802366349,10
0.8,4,0.125,no_mitigation,throughput,2559.24,4.869744118263463,2545.2545454545457,2568.1454545454544,10
0.8,4,0.125,no_mitigation,goodput,2479.225454545455,4.851767996064659,2465.309090909091,2488.1454545454544,10
0.8,4,0.125,no_mitigation,slo_violation_rate,0.031265139090769015,5.6333588494283304e-05,0.031150883552333485,0.03140961075513076,10
0.8,4,0.125,no_mitigation,affected_ratio,0.031247397308898833,5.854680211040026e-05,0.03114380380607159,0.031416754173542207,10
0.8,6,0.1875,adaptive,p99_latency,0.2522049029813181,0.0052854811476437105,0.24434994306793809,0.265424888145304,10
0.8,6,0.1875,adaptive,p999_latency,0.31022786227877003,0.0061795596567986305,0.2988151829290195,0.3253800523221473,10
0.8,6,0.1875,adaptive,p95_latency,0.05082363046595242,0.001897539677857033,0.047771734040790825,0.054354323631584205,10
0.8,6,0.1875,adaptive,p50_latency,0.02429574811309614,0.0002504547971580263,0.02363453982307462,0.024804339664714625,10
0.8,6,0.1875,adaptive,avg_latency,0.03279991140887499,0.0005753494521433957,0.03178659705957695,0.033980373165609534,10
0.8,6,0.1875,adaptive,max_latency,0.3999065637799838,0.014495539504191121,0.3832722116176086,0.453354669240877,10
0.8,6,0.1875,adaptive,tail_ratio,10.384132712770315,0.2779590236150171,9.960789370395167,10.88075390629226,10
0.8,6,0.1875,adaptive,throughput,2558.529090909091,2.680518253058801,2554.0363636363636,2563.7454545454543,10
0.8,6,0.1875,adaptive,goodput,2432.5509090909095,7.167188078799813,2420.072727272727,2446.1454545454544,10
0.8,6,0.1875,adaptive,slo_violation_rate,0.049236979609393106,0.002918299451799486,0.04378171686875435,0.05411138701667258,10
0.8,6,0.1875,adaptive,affected_ratio,0.04306251063155459,0.002872250180176801,0.03916145412251961,0.04695597699185603,10
0.8,6,0.1875,no_mitigation,p99_latency,0.258073365526447,0.0028082773245558385,0.2508161827110215,0.2638194702145231,10
0.8,6,0.1875,no_mitigation,p999_latency,0.3180898564756467,0.004889165375999507,0.30623461736588226,0.3251333576624118,10
0.8,6,0.1875,no_mitigation,p95_latency,0.053830366416780316,0.0013839620815143756,0.05092199279642941,0.056669608838133205,10
0.8,6,0.1875,no_mitigation,p50_latency,0.024074851620581938,0.00029625432246393443,0.02361165420567346,0.025015962751293586,10
0.8,6,0.1875,no_mitigation,avg_latency,0.03347739971285456,0.0003395358113158219,0.032992933402331795,0.0344143290170268,10
0.8,6,0.1875,no_mitigation,max_latency,0.4139379506960716,0.026000101374622105,0.3777585992107575,0.48790713985259515,10
0.8,6,0.1875,no_mitigation,tail_ratio,10.721004605352643,0.11517466792500346,10.426996588339499,10.987022608634213,10
0.8,6,0.1875,no_mitigation,throughput,2558.958181818182,4.679826672250029,2552.3454545454547,2574.4363636363637,10
0.8,6,0.1875,no_mitigation,goodput,2421.6836363636367,3.3606904536917885,2416.1454545454544,2429.3818181818183,10
0.8,6,0.1875,no_mitigation,slo_violation_rate,0.05364133530848327,0.0015350660106798156,0.05063165224311151,0.057227001144116274,10
