experiment,load_factor,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
E1_many_moderate,0.75,no_mitigation,3,45,14.468158721923828,120315,0.02086064816803194,0.017612745580599665,0.05115795809061506,0.06426777299027706,0.07806684985686865,0.09463047442546468,3.6489355220725854,2406.3,2275.3,0.05444042721190209,0,0.16243194946598513
E1_many_moderate,0.75,no_mitigation,8,50,14.346091747283936,120052,0.020953998804804978,0.01768018073991584,0.05144190303253085,0.06500331705352941,0.07852945754610682,0.09743371716975346,3.6766206188590598,2401.04,2267.48,0.055625895445307036,0,0.16282111085196416
E1_many_moderate,0.75,no_mitigation,1,43,14.872647523880005,119710,0.02083115763406907,0.01757086859276491,0.05115335697309893,0.06460783817027775,0.07814115497713894,0.09715335886473575,3.6769860197395747,2394.2,2264.08,0.05434800768523933,0,0.16327792164397292
E1_many_moderate,0.75,no_mitigation,4,46,14.955238819122314,120539,0.021115423284535653,0.01781521081989723,0.05167603863870299,0.06613326384414406,0.07887555272545654,0.09887197814160942,3.7121796936740123,2410.78,2275.14,0.05626394776794232,0,0.16228772430499672
E1_many_moderate,0.75,no_mitigation,6,48,14.722281694412231,119329,0.02058878761982584,0.017444485156701717,0.050257082795710416,0.06278352516280551,0.07768416680003598,0.09965165333449733,3.5990471830397195,2386.58,2264.92,0.050976711444829,0,0.1632461513965591
E1_many_moderate,0.75,no_mitigation,5,47,15.079649448394775,119804,0.020708940701111463,0.01751618786683906,0.050720407566569,0.06407559133131578,0.0779624126583817,0.09938657354383906,3.6580785624377263,2396.08,2269.0,0.053036626489933555,0,0.1629327902240326
E1_many_moderate,0.75,no_mitigation,9,51,14.88662600517273,119456,0.02059789738854222,0.01744040289874782,0.05053381384371569,0.06237747367574595,0.07674499988535126,0.09519125445327603,3.5766073775867016,2389.12,2264.78,0.05204426734529869,0,0.16352464505759443
E1_many_moderate,0.75,fixed_isolation,2,44,14.949834823608398,119747,0.02055198791527807,0.01906207079024469,0.03766026779121745,0.055803971045772,0.07612452100949695,0.10819572898170549,2.927487346984911,2394.94,2354.68,0.016810442015248818,0,0.09244490467402106
E1_many_moderate,0.75,no_mitigation,7,49,15.080488920211792,120493,0.02099255390328303,0.017732158006133147,0.051595566383644334,0.06473590555996156,0.07792616578656873,0.09891196485065734,3.650762954941575,2409.86,2273.86,0.05643481364062643,0,0.16252396404770403
E1_many_moderate,0.75,fixed_isolation,0,42,15.090424060821533,120626,0.021759481248050255,0.019999999999999574,0.03834210073896571,0.05778754589131907,0.0790903702500625,0.11400408600997025,2.889377294566015,2412.52,2365.22,0.01960605507933613,0,0.07635169863876776
E1_many_moderate,0.75,fixed_isolation,1,43,15.398036479949951,119554,0.020613398450764906,0.019044764708516126,0.038155524762703674,0.05603543821293856,0.07571807750013229,0.11775507953013076,2.9423014182937925,2391.08,2347.32,0.018301353363333724,0,0.09312946450976128
E1_many_moderate,0.75,fixed_isolation,3,45,15.313240766525269,120285,0.02084607464113256,0.01934880507294423,0.03743731500743052,0.056953078217628045,0.07743277622258748,0.10187733404342936,2.9434933063265247,2405.7,2359.92,0.0190298042149894,0,0.08941264496820052
E1_many_moderate,0.75,fixed_isolation,6,48,15.12395429611206,119482,0.02026815073728399,0.018926594557576948,0.03690720977392985,0.054956563623691494,0.0744137268670302,0.09918199773889569,2.903668880130924,2389.64,2352.06,0.01572621817512261,0,0.0922230963659798
