balancer,fault,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
p2c,S4_multi_node,no_mitigation,8,50,16.721877574920654,128206,0.020779348819141244,0.017503199342185916,0.04514687058117417,0.0977936241239142,0.11938737585318517,0.14976700620229622,5.587185646010078,2564.12,2439.76,0.04850007019952264,0,0.05182284760463629
p2c,S4_multi_node,fixed_isolation,0,42,16.835846185684204,128574,0.019386755236093286,0.018679074020619524,0.032152871382525025,0.03842986713602194,0.04587123003736718,0.05743183138640262,2.0573753866813655,2571.48,2571.34,5.44433555773329e-05,7,0.0
p2c,S4_multi_node,fixed_isolation,1,43,16.832977056503296,127835,0.019084443474920706,0.018485794918497334,0.03116448432575218,0.03755422816557584,0.043018267428062966,0.05037204465115508,2.03151816468537,2556.7,2556.68,7.82258379942895e-06,0,0.0
p2c,S4_multi_node,no_mitigation,9,51,16.967955827713013,127371,0.020305369817770327,0.017150807772551957,0.04385556654713163,0.09303412894759944,0.11785334546228726,0.15893579153679838,5.424475055716656,2547.42,2424.56,0.048229188747831137,0,0.0521547290984604
p2c,S4_multi_node,fixed_isolation,5,47,17.06634783744812,127655,0.01864774987991767,0.01787215683793164,0.030000000000001137,0.0389345319049266,0.08641259118086819,0.11960510835979576,2.1785021392769135,2553.1,2537.82,0.0059848811249069754,0,0.011883592495397752
p2c,S4_multi_node,fixed_isolation,2,44,17.370627403259277,128086,0.019049957991638933,0.018484155596983243,0.03060484335532676,0.0372037674353308,0.042944111470373206,0.0534838878866708,2.012738274146683,2561.72,2561.7,7.80725450088222e-06,11,0.0
p2c,S4_multi_node,fixed_isolation,6,48,17.141802310943604,127646,0.018760951312990545,0.01823494139106785,0.0300558942909106,0.03698288368664748,0.04181889923270198,0.050636057750807595,2.028132851842511,2552.92,2552.9,7.834166366356956e-06,0,0.0
p2c,S4_multi_node,fixed_isolation,3,45,17.38818359375,127759,0.01880715283632918,0.01823880744696993,0.030000000000001137,0.037277404951247414,0.06053704320462887,0.1307933445854843,2.0438510061380373,2555.18,2550.48,0.0018394007467184307,0,0.005346003021313567
p2c,S4_multi_node,fixed_isolation,4,46,17.388428926467896,128626,0.019396417353919778,0.01870955788777451,0.031966543971673644,0.038121945299055326,0.045030853034277674,0.0545270056315772,2.037565266251725,2572.52,2572.42,3.8872389719030366e-05,0,0.0
p2c,S4_multi_node,adaptive,1,43,17.143969774246216,127835,0.019084443474920706,0.018485794918497334,0.03116448432575218,0.03755422816557584,0.043018267428062966,0.05037204465115508,2.03151816468537,2556.7,2556.68,7.82258379942895e-06,0,0.0
p2c,S4_multi_node,fixed_isolation,9,51,17.246199131011963,127316,0.018784304321163035,0.01820318429414769,0.030418592408165246,0.0374281068906253,0.04423249007850318,0.08901435863797325,2.056129646649702,2546.32,2545.68,0.0002513431147695498,0,0.0008011561783279399
p2c,S4_multi_node,fixed_isolation,7,49,17.27652668952942,128623,0.019168728265524577,0.018514379510193635,0.03116918761458862,0.03800105156094915,0.049568813415149196,0.11405674215627215,2.0525155347510595,2572.46,2570.04,0.0009407337723424271,11,0.004291611920107601
p2c,S4_multi_node,adaptive,0,42,17.318897008895874,128574,0.019386755236093286,0.018679074020619524,0.032152871382525025,0.03842986713602194,0.04587123003736718,0.05743183138640262,2.0573753866813655,2571.48,2571.34,5.44433555773329e-05,7,0.0
p2c,S4_multi_node,adaptive,2,44,17.326805114746094,128086,0.019049957991638933,0.018484155596983243,0.03060484335532676,0.0372037674353308,0.042944111470373206,0.0534838878866708,2.012738274146683,2561.72,2561.7,7.80725450088222e-06,11,0.0
p2c,S4_multi_node,fixed_isolation,8,50,17.523345708847046,128164,0.019183898514695753,0.01858262901026464,0.03126913699132846,0.03763329699379297,0.04255042535107532,0.049896663254905604,2.025186908322022,2563.28,2563.28,0.0,4,0.0
p2c,S4_multi_node,adaptive,5,47,17.393632650375366,127601,0.01891051906073991,0.018145414901852064,0.03072184690037716,0.03842455847303938,0.08673359411245261,0.14708636861048596,2.117590514236049,2552.02,2542.62,0.0036833567135053803,0,0.0067946175970407755
p2c,S4_multi_node,adaptive,3,45,17.503647804260254,127759,0.01880715283632918,0.01823880744696993,0.030000000000001137,0.037277404951247414,0.06053704320462887,0.1307933445854843,2.0438510061380373,2555.18,2550.48,0.0018394007467184307,0,0.005346003021313567
p2c,S4_multi_node,adaptive,4,46,17.452110290527344,128626,0.019396417353919778,0.01870955788777451,0.031966543971673644,0.038121945299055326,0.045030853034277674,0.0545270056315772,2.037565266251725,2572.52,2572.42,3.8872389719030366e-05,0,0.0
p2c,S4_multi_node,adaptive,6,48,17.195969820022583,127646,0.018760951312990545,0.01823494139106785,0.0300558942909106,0.03698288368664748,0.04181889923270198,0.050636057750807595,2.028132851842511,2552.92,2552.9,7.834166366356956e-06,0,0.0
p2c,S4_multi_node,adaptive,7,49,17.0986008644104,128623,0.019168728265524577,0.018514379510193635,0.03116918761458862,0.03800105156094915,0.049568813415149196,0.11405674215627215,2.0525155347510595,2572.46,2570.04,0.0009407337723424271,11,0.004291611920107601
p2c,S4_multi_node,adaptive,9,51,17.164359092712402,127316,0.018784304321163035,0.01820318429414769,0.030418592408165246,0.0374281068906253,0.04423249007850318,0.08901435863797325,2.056129646649702,2546.32,2545.68,0.0002513431147695498,0,0.0008011561783279399
p2c,S6_cascade,no_mitigation,0,42,17.315945625305176,128648,0.018667987619062125,0.01614737302081437,0.02929408886164939,0.1285054788176681,0.18771346384231316,0.2461732363381408,7.958290097839525,2572.96,2521.86,0.019860394254088677,0,0.04296996455444313
p2c,S6_cascade,no_mitigation,1,43,16.906298637390137,127808,0.018597713877780798,0.016084807916392663,0.02917891401115805,0.12637524934834563,0.19060748544036182,0.26646223256608437,7.8568081139191985,2556.16,2505.04,0.019998748122183274,0,0.04318978467701552
p2c,S4_multi_node,adaptive,8,50,17.618656873703003,128164,0.019183898514695753,0.01858262901026464,0.03126913699132846,0.03763329699379297,0.04255042535107532,0.049896663254905604,2.025186908322022,2563.28,2563.28,0.0,4,0.0
p2c,S6_cascade,no_mitigation,2,44,17.042426586151123,127715,0.018459236326332007,0.015985663199252542,0.028963677504955144,0.12616074781549233,0.18677696338542718,0.24028500159090527,7.892118471593431,2554.3,2503.06,0.020060290490545356,0,0.04352660220021141
p2c,S6_cascade,no_mitigation,3,45,17.048141956329346,128271,0.01861111079375777,0.01610279172631124,0.029097579412129093,0.12735957344183133,0.19013946889734318,0.24634586570049422,7.909161070110067,2565.42,2513.78,0.020129257587451568,0,0.043104053137497954
p2c,S6_cascade,no_mitigation,5,47,17.08246088027954,127802,0.018573134883865312,0.016038172490441482,0.02913421485383125,0.12911571309831993,0.1882337112172471,0.23363635415582706,8.050525281185934,2556.04,2505.04,0.019952739393749707,0,0.04315268931628613
p2c,S6_cascade,no_mitigation,9,51,16.945796728134155,127369,0.018353694035575636,0.01587280849297379,0.02890259571244795,0.12546918458879683,0.18700959522685523,0.24586157822425037,7.904661903048641,2547.38,2496.18,0.020099082194254488,0,0.04328368755348633
p2c,S6_cascade,no_mitigation,6,48,17.20918345451355,127260,0.018347745483001457,0.015875084475520218,0.028873059194698666,0.12344231839765005,0.18710497608460694,0.24115338556620003,7.775852694705419,2545.2,2494.06,0.020092723558070093,0,0.04317931793179318
p2c,S6_cascade,no_mitigation,4,46,17.493937969207764,128528,0.01864660651726465,0.016215839264035026,0.02922955255216397,0.12538426920217782,0.18770273004448568,0.23919700293244262,7.732209672321219,2570.56,2519.64,0.01980891323291423,0,0.04325905639238143
p2c,S6_cascade,no_mitigation,7,49,17.442906141281128,128527,0.018666703709989237,0.01618493371063323,0.029165733406882485,0.1277214085344386,0.18800399054258163,0.24343815051548745,7.8913766851283285,2570.54,2519.14,0.019995798548164977,0,0.043010418044457585
p2c,S6_cascade,no_mitigation,8,50,17.489538431167603,128205,0.018702441279172595,0.016147790898266123,0.02925718102148238,0.12910550743203222,0.1903214308066737,0.24951636501622687,7.995242708146226,2564.1,2512.8,0.020007020007020006,0,0.042783042783042784
p2c,S6_cascade,fixed_isolation,1,43,17.43914484977722,127915,0.016644622045204772,0.01617929656588224,0.027968139051107944,0.033002163081701646,0.03972305771899674,0.15684855496168737,2.039777375197775,2558.3,2557.18,0.0004377907204002658,0,0.02327326740413556
p2c,S6_cascade,fixed_isolation,3,45,17.37559700012207,127875,0.016671617574823872,0.016232737626637572,0.027993049245721824,0.032889177971940596,0.03904295348932666,0.19016930766246176,2.0261017413335236,2557.5,2556.4,0.00043010752688172043,0,0.023210166177908113
p2c,S6_cascade,fixed_isolation,4,46,17.59035611152649,127923,0.016647529632630918,0.01615356255129541,0.027998942584609308,0.033302808490567055,0.039703309199878224,0.18464877564318982,2.0616386252143735,2558.46,2557.36,0.00042994613947452764,0,0.023092016291050083
p2c,S6_cascade,fixed_isolation,2,44,17.66309905052185,127946,0.01658225685947257,0.01615333112316719,0.027768569564726064,0.032356525522297744,0.039291272535427336,0.19017456036906566,2.0030868726446056,2558.92,2557.94,0.0003829740671845935,0,0.02335360230097072
p2c,S6_cascade,fixed_isolation,0,42,17.96356511116028,128934,0.016790925660427992,0.016339204559395526,0.028117465844465696,0.03346155916561248,0.039618704523296584,0.16346914972554316,2.047930732733932,2578.68,2577.58,0.00042657483673817613,0,0.02316689158794422
p2c,S6_cascade,fixed_isolation,5,47,17.904242753982544,128123,0.01669431254161434,0.016230154429266008,0.02804772032765612,0.03292726447595512,0.03932736778026675,0.18096897148709346,2.028770867181713,2562.46,2561.42,0.0004058599939121001,0,0.02323548465146773
lor,S2_progressive,no_mitigation,0,42,5.800534009933472,127634,0.011833049411519971,0.009999999999999787,0.018580269198680454,0.08332462716463897,0.09973512534612296,0.09999716747790544,8.332462716464075,2552.68,2514.26,0.015050848519986837,0,0.01563063133647774
lor,S2_progressive,no_mitigation,1,43,5.758159160614014,128295,0.011896079905845272,0.009999999999999787,0.018811630935851295,0.08448013457016361,0.09977915488476945,0.14915234058467775,8.448013457016541,2565.9,2527.58,0.014934331033945205,0,0.015542304844304142
lor,S2_progressive,no_mitigation,2,44,5.798203229904175,128244,0.011895280867429761,0.009999999999999787,0.018765331155374102,0.08457636508223178,0.09975570351026954,0.09999733867116589,8.457636508223358,2564.88,2526.48,0.014971460653129971,0,0.01555628333489286
lor,S2_progressive,no_mitigation,3,45,5.763941764831543,127606,0.01183955884377678,0.009999999999999787,0.018627973727752156,0.08460080618059924,0.0996961458294695,0.09999797018631895,8.460080618060104,2552.12,2514.04,0.014920928482986694,0,0.01564973433851073
lor,S2_progressive,no_mitigation,4,46,6.057340383529663,127926,0.011826260299910813,0.009999999999999787,0.01852917871241999,0.0830358658055168,0.0996786242170055,0.0999990135542248,8.303586580551858,2558.52,2520.26,0.014953957756828166,0,0.015594953332395292
