service_cv,cv_sq,load_factor,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
0.0,0.0,0.84,9,51,17.126232385635376,133844,0.01564631586021833,0.015076045425360007,0.0264803345458489,0.029572254195283004,0.03632992669579952,0.03987619465630843,1.961539207459428,2676.88,2676.88,0.0,0,0.0
0.0,0.0,0.84,8,50,17.290590524673462,134627,0.015840939240044316,0.015337516538039608,0.02681330798797372,0.0298280753140309,0.03708999098460217,0.04589952529440211,1.9447786895650467,2692.54,2692.54,0.0,0,0.0
0.0,0.0,0.85,1,43,17.258809566497803,135596,0.016036953511219018,0.015563819769081277,0.027143134543889502,0.03034299672642959,0.037494248576786786,0.04581526758920518,1.9495854601650093,2711.92,2711.92,0.0,0,0.0
0.0,0.0,0.85,0,42,17.662614822387695,136706,0.016236266265207428,0.015787286446688142,0.027369660602877488,0.03112005239747334,0.038173498495008076,0.04901874775011805,1.9712097137505038,2734.12,2734.12,0.0,0,0.0
0.0,0.0,0.85,4,46,17.145126819610596,136344,0.01623211293377859,0.0157798477242288,0.027396564418570076,0.031017853973703845,0.03781859408996715,0.04644498404399755,1.965662439573368,2726.88,2726.88,0.0,0,0.0
0.0,0.0,0.85,2,44,17.693685054779053,135808,0.016021058071383446,0.015564158304897546,0.027000429429106805,0.029930289676574958,0.03688129277548944,0.04389252149342582,1.9230265517896235,2716.16,2716.16,0.0,0,0.0
0.0,0.0,0.85,6,48,17.582910299301147,135300,0.015924544415141437,0.015454760355122943,0.026891597082164858,0.02992217397818074,0.03694161886330036,0.04705457505973598,1.9361137468729588,2706.0,2706.0,0.0,0,0.0
0.0,0.0,0.85,3,45,17.949744701385498,136328,0.0161125178189869,0.01570105601607885,0.027057225796902527,0.02990044454016879,0.036974318035370254,0.04876438426759577,1.9043588220785206,2726.56,2726.56,0.0,0,0.0
0.0,0.0,0.85,8,50,17.400444269180298,136253,0.01615530205654089,0.015736199186122235,0.02721034711878758,0.03033837893798791,0.03754858181769016,0.047443336799354086,1.927935620231812,2725.06,2725.06,0.0,0,0.0
0.0,0.0,0.85,5,47,17.952593564987183,135885,0.016011305716443103,0.015575470918875567,0.02696499963624603,0.029963874162363312,0.037167905646661094,0.046156108297765286,1.9237860812317886,2717.7,2717.7,0.0,0,0.0
0.0,0.0,0.85,7,49,17.822362899780273,136510,0.016135544038569403,0.015733146660199537,0.02713237781952493,0.029953425606551096,0.03679969614907244,0.04781816219767876,1.9038420128838491,2730.2,2730.2,0.0,0,0.0
0.0,0.0,0.85,9,51,17.43309783935547,135515,0.0159439293975614,0.015469590927171595,0.0269123262012453,0.02981624767567595,0.03677367906068068,0.04135913769114552,1.927410221514335,2710.3,2710.3,0.0,0,0.0
0.0,0.0,0.86,2,44,17.515353679656982,137526,0.01641497717809747,0.01602955685402918,0.02753404807754789,0.03123368079072364,0.03794467882573546,0.04531238392799963,1.9485055685037704,2750.52,2750.52,0.0,0,0.0
0.0,0.0,0.86,1,43,17.848838806152344,137236,0.0163986479225214,0.015992615673214416,0.027606501492111413,0.03166313618259613,0.03817231574164303,0.049104493056844944,1.9798597571270238,2744.72,2744.72,0.0,0,0.0
0.0,0.0,0.86,0,42,18.223270416259766,138300,0.016560730648666942,0.016154857084261565,0.027803358630087687,0.03219466022462429,0.038484822797561095,0.048111973070220415,1.9928780586978434,2766.0,2766.0,0.0,0,0.0
0.0,0.0,0.86,3,45,17.98335361480713,137956,0.016463922488869902,0.016100977179230647,0.027550262461874198,0.03120780091253278,0.03771223344492792,0.04741306852460525,1.9382550863303554,2759.12,2759.12,0.0,0,0.0
0.0,0.0,0.86,4,46,17.957950353622437,137911,0.01657809970036943,0.01617510141241496,0.027845383004212465,0.03229634525633499,0.03830269123927,0.04730027492720623,1.9966703412163096,2758.22,2758.22,0.0,0,0.0
0.0,0.0,0.86,5,47,17.941768169403076,137423,0.016334016971263826,0.015940695177661723,0.027415244222865807,0.031037775707671925,0.03769683166786593,0.04974024834506707,1.9470779261350089,2748.46,2748.46,0.0,0,0.0
0.0,0.0,0.86,6,48,17.33299732208252,136858,0.016217931161630002,0.01579735138511751,0.02727011299032895,0.03067468939043373,0.037665028519836774,0.0489688917996034,1.9417615423387986,2737.16,2737.16,0.0,0,0.0
0.0,0.0,0.86,7,49,17.59885334968567,138069,0.016461989484504957,0.016103766982617174,0.027555984721514194,0.030827839799699757,0.03753416188851401,0.049662421325791684,1.9143247560012593,2761.38,2761.38,0.0,0,0.0
0.0,0.0,0.86,8,50,17.78548312187195,137844,0.01650024308749721,0.016116569661763336,0.027650827779372732,0.031725524684785684,0.03814445162376199,0.049553041877786086,1.9685035556949004,2756.88,2756.88,0.0,0,0.0
0.0,0.0,0.86,9,51,17.687049865722656,137245,0.016291187054507283,0.01587787467386903,0.027373119445806532,0.03042357577343635,0.03747707553069294,0.0440270088224608,1.9160987473660986,2744.9,2744.9,0.0,0,0.0
0.0,0.0,0.87,1,43,17.56612753868103,138840,0.016770526885846397,0.016404519231542736,0.0280524131207347,0.032842793030474944,0.03885752289187855,0.0494858112722838,2.002057638319846,2776.8,2776.8,0.0,0,0.0
0.0,0.0,0.87,0,42,18.060084342956543,139840,0.016915936761747644,0.016533021078416255,0.028175162011555697,0.03323068527406898,0.03880299920330756,0.04831139887030744,2.0099584411376217,2796.8,2796.8,0.0,0,0.0
0.0,0.0,0.87,2,44,17.810458660125732,139080,0.01675362466633439,0.016401233645672697,0.027909059469475837,0.03225952175607133,0.038324470447395675,0.04777952816994713,1.9668960550770938,2781.6,2781.6,0.0,0,0.0
0.0,0.0,0.87,5,47,17.70076584815979,139058,0.016718564796273618,0.016385483809260748,0.027881828778565952,0.0322672772538566,0.03841947404269838,0.04949298843224881,1.969259963847987,2781.16,2781.16,0.0,0,0.0
0.0,0.0,0.87,6,48,17.72698426246643,138411,0.016561420738412182,0.016172387235830143,0.02779717611463539,0.03225932250178544,0.038497532285191795,0.04788745777681669,1.9947161808192715,2768.22,2768.22,0.0,0,0.0
0.0,0.0,0.87,3,45,18.037116527557373,139500,0.01679794592101931,0.016470435360884217,0.0279464608457463,0.032238544300919054,0.038042313311586515,0.04531152213203882,1.9573583572346034,2790.0,2790.0,0.0,0,0.0
0.0,0.0,0.87,8,50,17.658010482788086,139397,0.01685991386272892,0.016491284026859176,0.02810614289358284,0.03282907018480218,0.038629382846059886,0.04853005892254458,1.9906921820844168,2787.94,2787.94,0.0,0,0.0
0.0,0.0,0.87,4,46,18.434285163879395,139471,0.01693006669275578,0.016555536429940787,0.02827014774010639,0.03350647263171858,0.03885922057140772,0.04863028504040301,2.0238832352856853,2789.42,2789.42,0.0,0,0.0
0.0,0.0,0.87,7,49,18.196781396865845,139590,0.01679447542461745,0.016487425487974328,0.027916447682218765,0.03182904198150176,0.03793111860483832,0.04858282225858801,1.9305040683712182,2791.8,2791.8,0.0,0,0.0
0.0,0.0,0.87,9,51,17.939037799835205,138863,0.016654397727531293,0.016284446721162027,0.02785575956536998,0.03216838850788081,0.03830360492271989,0.04670722492350521,1.9754056774969961,2777.26,2777.26,0.0,0,0.0
0.0,0.0,0.88,0,42,18.263734579086304,141350,0.017332520188411388,0.016953367407303688,0.028641104455997275,0.03433177191939131,0.03942332386942825,0.05246129044051173,2.025070954611697,2827.0,2826.98,7.074637424831977e-06,0,0.0
0.0,0.0,0.88,1,43,17.989917039871216,140416,0.017141310882833646,0.016795683951841056,0.028438227680769756,0.033575287945437016,0.038984269528010075,0.04930734456991814,1.999042613668416,2808.32,2808.32,0.0,0,0.0
0.0,0.0,0.88,2,44,18.097265481948853,140708,0.01716920672422526,0.01683159614020724,0.02837545901791234,0.033520173634211045,0.0386883200393797,0.048182207793246334,1.9915029659093477,2814.16,2814.16,0.0,0,0.0
0.0,0.0,0.88,3,45,18.130380868911743,141031,0.017203033481320802,0.01689450362388989,0.028380743358390248,0.033210124494538105,0.038575704423649,0.046405470280602046,1.965735438807264,2820.62,2820.62,0.0,0,0.0
0.0,0.0,0.88,4,46,18.336615562438965,141032,0.0173512188992021,0.01696140211671171,0.02870463654775879,0.034543909727886526,0.03935579923578476,0.04896858689223116,2.036618758884983,2820.64,2820.64,0.0,0,0.0
0.0,0.0,0.88,5,47,18.334760189056396,140641,0.017105917052414165,0.01677563039118013,0.02834455533219682,0.03329377829064912,0.03877635393869637,0.04768291627953758,1.984651396954566,2812.82,2812.82,0.0,0,0.0
0.0,0.0,0.88,6,48,17.639652967453003,140005,0.0169585306586877,0.016591019142801144,0.0282427260933332,0.0334807008127032,0.03897494717782297,0.04850942123846025,2.018001457567512,2800.1,2800.1,0.0,0,0.0
0.0,0.0,0.88,7,49,17.836277961730957,141142,0.01722296958527296,0.016914836715387516,0.02837087743064605,0.03317777796966216,0.03848680411700185,0.049167108369296386,1.9614601386887858,2822.84,2822.84,0.0,0,0.0
0.0,0.0,0.88,9,51,17.775336265563965,140447,0.01702065127518146,0.01667692119863773,0.028258267717689002,0.0330137849107152,0.03860113244424081,0.04813436098652346,1.9796090967565385,2808.94,2808.94,0.0,0,0.0
0.0,0.0,0.88,8,50,18.13307237625122,140978,0.01728139642625617,0.01693106330183003,0.028584385848184367,0.033985753240311375,0.03906768788535996,0.04956539227282519,2.007301764481499,2819.56,2819.56,0.0,0,0.0
0.0,0.0,0.89,0,42,18.106775283813477,142861,0.017773937165349564,0.017365730931643952,0.029079906798969546,0.035386105349628494,0.039902125142295616,0.053566132588713344,2.037697433463494,2857.22,2857.14,2.799924402041145e-05,0,0.0
0.0,0.0,0.89,1,43,18.12005043029785,141997,0.01759505099181698,0.01721818954077392,0.028949404709050334,0.03490269561085342,0.039780635719946264,0.049395091515741285,2.0270827852255495,2839.94,2839.94,0.0,0,0.0
