load_factor,fault_scenario,baseline,metric,mean,ci_95,n
0.85,s3_2node_3x,adaptive,p99_latency,0.036679881259512506,0.00034911965884976354,10
0.85,s3_2node_3x,adaptive,p999_latency,0.0486962643515766,0.005953500917830508,10
0.85,s3_2node_3x,adaptive,p95_latency,0.029766639623455965,0.00023125851841673662,10
0.85,s3_2node_3x,adaptive,p50_latency,0.017890079661294057,0.0001306215755784146,10
0.85,s3_2node_3x,adaptive,avg_latency,0.01840288878491783,0.0001513709380818163,10
0.85,s3_2node_3x,adaptive,throughput,2725.3654545454547,6.039277857358063,10
0.85,s3_2node_3x,adaptive,goodput,2723.0836363636363,6.131995894501812,10
0.85,s3_2node_3x,adaptive,slo_violation_rate,0.0008372626085909071,0.0003829153433819361,10
0.85,s3_2node_3x,fixed_isolation,p99_latency,0.03633621364947267,0.00023597237510443364,10
0.85,s3_2node_3x,fixed_isolation,p999_latency,0.04362402535060399,0.002576900386053947,10
0.85,s3_2node_3x,fixed_isolation,p95_latency,0.029627663549487815,9.442154445833749e-05,10
0.85,s3_2node_3x,fixed_isolation,p50_latency,0.017812313927463297,4.333052567278104e-05,10
0.85,s3_2node_3x,fixed_isolation,avg_latency,0.018306513373757514,6.238527706019767e-05,10
0.85,s3_2node_3x,fixed_isolation,throughput,2718.6345454545453,2.989490291655617,10
0.85,s3_2node_3x,fixed_isolation,goodput,2717.152727272727,2.8208939892455596,10
0.85,s3_2node_3x,fixed_isolation,slo_violation_rate,0.0005449262497934358,0.0001435651915502442,10
0.85,s3_2node_3x,lit_blacklist,p99_latency,0.036547897955038725,0.00038905499624482807,10
0.85,s3_2node_3x,lit_blacklist,p999_latency,0.04252241083064219,0.0014580287316971854,10
0.85,s3_2node_3x,lit_blacklist,p95_latency,0.029679768080778345,0.00013835605765572092,10
0.85,s3_2node_3x,lit_blacklist,p50_latency,0.01784654491312789,8.908430105953618e-05,10
0.85,s3_2node_3x,lit_blacklist,avg_latency,0.01833789044190175,0.0001107464498280294,10
0.85,s3_2node_3x,lit_blacklist,throughput,2720.3709090909097,4.3727482261767605,10
0.85,s3_2node_3x,lit_blacklist,goodput,2719.727272727273,4.3553767607109455,10
0.85,s3_2node_3x,lit_blacklist,slo_violation_rate,0.00023658106079222225,2.6433724866078662e-05,10
0.85,s3_2node_3x,no_mitigation,p99_latency,0.08238897717897917,0.00023436637452256534,10
0.85,s3_2node_3x,no_mitigation,p999_latency,0.11402012216530136,0.0006135781876341495,10
0.85,s3_2node_3x,no_mitigation,p95_latency,0.030381015855176424,0.00021525626245137553,10
0.85,s3_2node_3x,no_mitigation,p50_latency,0.017270745170854872,4.403389108300539e-05,10
0.85,s3_2node_3x,no_mitigation,avg_latency,0.018880633020723188,5.1071196993371735e-05,10
0.85,s3_2node_3x,no_mitigation,throughput,2713.281818181818,3.821819383481361,10
0.85,s3_2node_3x,no_mitigation,goodput,2656.5709090909086,3.6974550978903786,10
0.85,s3_2node_3x,no_mitigation,slo_violation_rate,0.02090117348311573,0.0001036262330074159,10
0.85,s4_4node_mixed,adaptive,p99_latency,0.14689409132858705,0.01731036896503078,10
0.85,s4_4node_mixed,adaptive,p999_latency,0.20539396740795363,0.022841227402318306,10
0.85,s4_4node_mixed,adaptive,p95_latency,0.041125738699364686,0.0007946071747282044,10
0.85,s4_4node_mixed,adaptive,p50_latency,0.020468860360086973,0.0005254909482870271,10
0.85,s4_4node_mixed,adaptive,avg_latency,0.0247884862300238,0.0008191063559468431,10
0.85,s4_4node_mixed,adaptive,throughput,2719.0127272727273,3.386220028089308,10
0.85,s4_4node_mixed,adaptive,goodput,2617.8890909090906,10.80270766871928,10
0.85,s4_4node_mixed,adaptive,slo_violation_rate,0.03719659902819071,0.002926766339436799,10
0.85,s4_4node_mixed,fixed_isolation,p99_latency,0.14319906140157734,0.015583903293579034,10
0.85,s4_4node_mixed,fixed_isolation,p999_latency,0.20646425069791494,0.016922870774761116,10
0.85,s4_4node_mixed,fixed_isolation,p95_latency,0.04101693598165385,0.0005677677199759925,10
0.85,s4_4node_mixed,fixed_isolation,p50_latency,0.020488932186439344,0.0006011168771545837,10
0.85,s4_4node_mixed,fixed_isolation,avg_latency,0.024854921941891164,0.0007146602038894569,10
0.85,s4_4node_mixed,fixed_isolation,throughput,2719.883636363636,3.3800815653515905,10
0.85,s4_4node_mixed,fixed_isolation,goodput,2619.3218181818183,9.262203463069852,10
0.85,s4_4node_mixed,fixed_isolation,slo_violation_rate,0.03697446922788879,0.0028928271431521487,10
0.85,s4_4node_mixed,lit_blacklist,p99_latency,0.05686641761208119,0.0034253019059864082,10
0.85,s4_4node_mixed,lit_blacklist,p999_latency,0.06939969062650898,0.005074003570947386,10
0.85,s4_4node_mixed,lit_blacklist,p95_latency,0.046392461516307874,0.0018664367780194336,10
0.85,s4_4node_mixed,lit_blacklist,p50_latency,0.02569245407432099,0.00047292532519944676,10
0.85,s4_4node_mixed,lit_blacklist,avg_latency,0.0264446219747555,0.0006164776325682364,10
0.85,s4_4node_mixed,lit_blacklist,throughput,2721.950909090909,4.268370738520764,10
0.85,s4_4node_mixed,lit_blacklist,goodput,2653.667272727273,25.928829078611177,10
0.85,s4_4node_mixed,lit_blacklist,slo_violation_rate,0.025081307690998922,0.009691330835232643,10
0.85,s4_4node_mixed,no_mitigation,p99_latency,0.12622199614421986,0.019027935988059432,10
0.85,s4_4node_mixed,no_mitigation,p999_latency,0.18004189535654921,0.02780755011628415,10
0.85,s4_4node_mixed,no_mitigation,p95_latency,0.041145848265317315,0.0009194135587218262,10
0.85,s4_4node_mixed,no_mitigation,p50_latency,0.019877149629440715,0.00040674972120948366,10
0.85,s4_4node_mixed,no_mitigation,avg_latency,0.023933731758955714,0.0008193182010450205,10
0.85,s4_4node_mixed,no_mitigation,throughput,2720.4545454545455,4.383446296194377,10
0.85,s4_4node_mixed,no_mitigation,goodput,2611.3818181818183,5.932141077171899,10
0.85,s4_4node_mixed,no_mitigation,slo_violation_rate,0.04009071059254346,0.002342624512013017,10
0.85,s6_cascade,adaptive,p99_latency,0.038793853486152594,0.0015297289384959376,10
0.85,s6_cascade,adaptive,p999_latency,0.07887119240111391,0.031099778560614917,10
0.85,s6_cascade,adaptive,p95_latency,0.03076075880998691,0.00037761629840025844,10
0.85,s6_cascade,adaptive,p50_latency,0.017987606622525874,8.759634081532818e-05,10
0.85,s6_cascade,adaptive,avg_latency,0.018764693771436164,0.00015667137798161844,10
0.85,s6_cascade,adaptive,throughput,2720.06,4.283637409039509,10
0.85,s6_cascade,adaptive,goodput,2713.5800000000004,4.726464441217641,10
0.85,s6_cascade,adaptive,slo_violation_rate,0.0023801652203459577,0.0017218749510738548,10
0.85,s6_cascade,fixed_isolation,p99_latency,0.03825050842830724,0.0004046467696683432,10
0.85,s6_cascade,fixed_isolation,p999_latency,0.07767972608359101,0.02242013467213511,10
0.85,s6_cascade,fixed_isolation,p95_latency,0.03070505160264462,0.00039103083345126796,10
0.85,s6_cascade,fixed_isolation,p50_latency,0.017982113660647593,0.00012149360555778906,10
0.85,s6_cascade,fixed_isolation,avg_latency,0.01872600574842003,0.0001267552322323756,10
0.85,s6_cascade,fixed_isolation,throughput,2719.330909090909,5.645994299198647,10
0.85,s6_cascade,fixed_isolation,goodput,2713.3927272727274,6.404513500192207,10
0.85,s6_cascade,fixed_isolation,slo_violation_rate,0.0021839224287601893,0.0009958703570979862,10
0.85,s6_cascade,lit_blacklist,p99_latency,0.03847500964746941,0.0003351398531962449,10
0.85,s6_cascade,lit_blacklist,p999_latency,0.04738574634406802,0.0011449630894055623,10
0.85,s6_cascade,lit_blacklist,p95_latency,0.03159542685589572,0.000560929447093132,10
0.85,s6_cascade,lit_blacklist,p50_latency,0.01813035408693029,0.0001237019293897643,10
0.85,s6_cascade,lit_blacklist,avg_latency,0.018852187233025463,0.00015890089219498566,10
0.85,s6_cascade,lit_blacklist,throughput,2716.4618181818178,6.54378576739465,10
0.85,s6_cascade,lit_blacklist,goodput,2715.1799999999994,6.627581471364526,10
0.85,s6_cascade,lit_blacklist,slo_violation_rate,0.0004719848950871977,0.0001594156604237496,10
0.85,s6_cascade,no_mitigation,p99_latency,0.12693482618906737,0.000993870368593099,10
0.85,s6_cascade,no_mitigation,p999_latency,0.20044738261942233,0.0010580072867448298,10
0.85,s6_cascade,no_mitigation,p95_latency,0.03252299945897032,0.0003623547056876953,10
0.85,s6_cascade,no_mitigation,p50_latency,0.017905370706309355,7.738230256412746e-05,10
0.85,s6_cascade,no_mitigation,avg_latency,0.020308013943849908,0.00010570088939250032,10
0.85,s6_cascade,no_mitigation,throughput,2721.8309090909092,4.900177616359283,10
0.85,s6_cascade,no_mitigation,goodput,2679.04,4.874184792064751,10
0.85,s6_cascade,no_mitigation,slo_violation_rate,0.01572142840398892,2.9814504328192153e-05,10
0.88,s3_2node_3x,adaptive,p99_latency,0.056193840158062225,0.012092678862164781,10
0.88,s3_2node_3x,adaptive,p999_latency,0.10620956123068415,0.0065714074809088705,10
0.88,s3_2node_3x,adaptive,p95_latency,0.033670228755232366,0.0005576097621386785,10
0.88,s3_2node_3x,adaptive,p50_latency,0.018813451150041606,8.329980559219963e-05,10
0.88,s3_2node_3x,adaptive,avg_latency,0.02016966654177898,0.00027554383843832956,10
0.88,s3_2node_3x,adaptive,throughput,2810.6527272727276,4.4644055009465085,10
