load_factor,fault_scenario,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
0.9,s3_2node_3x,adaptive,3,97624,19.595773458480835,158268,0.02207127917942938,0.020574078325246603,0.03715539725002656,0.051499170767162795,0.11094062331548908,0.16112454093993733,2.503109493073514,2877.6,2847.690909090909,0.010393762478833371,0,0.021135036773068466
0.9,s3_2node_3x,adaptive,2,801,20.12697744369507,158591,0.02256620216778947,0.020142056710350076,0.03728912674302798,0.09456353193147306,0.13071871227111703,0.18752432187834245,4.694829991362362,2883.4727272727273,2821.7454545454543,0.02140726775163786,0,0.02667238367877118
0.9,s3_2node_3x,adaptive,4,98742,19.00363063812256,157960,0.021791898844088615,0.020192183639009542,0.03635660821728698,0.05049776455078018,0.11372880854350219,0.16811723836550385,2.5008570372360763,2872.0,2843.109090909091,0.010059508736388958,0,0.020916687769055458
0.9,s3_2node_3x,adaptive,5,31555,19.529608726501465,157932,0.02184789338221992,0.020224052972153572,0.03686427074559882,0.049795589239760435,0.11021182212917784,0.15940982753640753,2.462196341570298,2871.490909090909,2843.2727272727275,0.009827014157992047,0,0.020755768305346606
0.9,s3_2node_3x,adaptive,6,64811,19.473210334777832,158216,0.021917108056947035,0.020273856605303564,0.036851458183029706,0.05357922834919805,0.11167085416224441,0.15624558176401848,2.6427743567635735,2876.6545454545453,2844.7454545454543,0.011092430601203417,0,0.02184987611872377
0.9,s3_2node_3x,adaptive,7,33614,19.30295491218567,158163,0.02177560859992495,0.02027894603416769,0.03620406933170023,0.05001438534068953,0.10968379336006126,0.15377128522619898,2.4663207474600033,2875.690909090909,2846.909090909091,0.010008661950013594,0,0.02096571258764692
0.9,s3_2node_3x,adaptive,8,62752,19.279419898986816,158538,0.022098240715771093,0.020582056216611022,0.037145658804577576,0.0523667615881025,0.11149067070175775,0.14993302293705568,2.54429202976519,2882.509090909091,2852.0,0.010584213248558705,0,0.02138288612193922
0.9,s3_2node_3x,adaptive,9,32455,19.488552808761597,158264,0.02188372969692156,0.020358804068575154,0.03643152822617904,0.05146570296145847,0.11289805303132179,0.1499680235321641,2.5279335067082056,2877.5272727272727,2848.0,0.01026133549006723,0,0.021318809078501744
0.9,s3_2node_3x,fixed_isolation,1,315,19.174959421157837,158619,0.022236217846292178,0.020861648366377494,0.03721633989878086,0.04981424327274698,0.11289373659884343,0.17584758007681245,2.387838314494462,2883.981818181818,2855.418181818182,0.00990423593642628,0,0.020791960610015193
0.9,s3_2node_3x,fixed_isolation,0,1890,19.807405948638916,158487,0.02234389781570645,0.020767415403376788,0.037704372665628934,0.05517817085976635,0.11579927988723605,0.17189796553046754,2.6569589805958405,2881.581818181818,2848.690909090909,0.01141418539059986,0,0.021534889296913943
0.9,s3_2node_3x,fixed_isolation,2,3949,19.250288724899292,158089,0.02190824333741869,0.020267551489681068,0.03682278148903464,0.05286173729352176,0.11402221920821058,0.17182931855760586,2.6081955346424333,2874.3454545454547,2843.418181818182,0.010759761906267989,0,0.021127339663101166
0.9,s3_2node_3x,fixed_isolation,3,2374,18.785073280334473,158011,0.021724281944474337,0.020195493024601774,0.03625987467204439,0.048266301402723144,0.10961041332573714,0.16617610027083174,2.389954102329962,2872.927272727273,2846.509090909091,0.009195562334267868,0,0.020479586864205656
0.9,s3_2node_3x,fixed_isolation,4,62120,18.81341314315796,158383,0.022054176815761085,0.020523619932632187,0.036980705616112705,0.050052749480694936,0.11308076610933067,0.16401565433917398,2.438787584499748,2879.690909090909,2850.818181818182,0.010026328583244414,0,0.02100604231514746
0.9,s3_2node_3x,fixed_isolation,6,39939,18.741878032684326,158479,0.022165119466718973,0.020798177911931504,0.03718167774112615,0.0489809182775673,0.11027370422330111,0.16806416667915158,2.3550581442746443,2881.4363636363637,2855.4727272727273,0.009010657563462667,0,0.019396891701739662
0.9,s3_2node_3x,fixed_isolation,5,36305,19.654854774475098,159038,0.02259831332053601,0.021362421534487197,0.0378393021626488,0.0503025468775094,0.11326591815532433,0.17891001909963933,2.35472120032374,2891.6,2862.327272727273,0.01012336674253952,0,0.020391353009972458
0.9,s3_2node_3x,fixed_isolation,7,38364,19.28800916671753,158027,0.021726823484761956,0.020227901554072503,0.036222111732461204,0.04783576063107275,0.10878802956300147,0.15410787646488444,2.3648404904087506,2873.2181818181816,2847.3636363636365,0.00899846228809001,0,0.020085175318141836
0.9,s3_2node_3x,fixed_isolation,8,82955,19.236652135849,157932,0.021869258633705962,0.02022413783037713,0.03679367926249525,0.050306605295894376,0.11439397939531026,0.16555752573479765,2.4874536416742905,2871.490909090909,2842.6,0.010061292201707064,0,0.020914064280829724
0.9,s3_2node_3x,fixed_isolation,9,72295,19.67680811882019,158399,0.021983120782016315,0.020488406152857408,0.03659527020799942,0.04959369609742565,0.11520467377965639,0.17634165113877742,2.420573651626341,2879.981818181818,2851.8727272727274,0.009760162627289314,0,0.020467300929930113
0.9,s3_2node_3x,lit_blacklist,0,85743,18.64563798904419,158464,0.02330851669060916,0.022869587494783516,0.03849113517363314,0.04625947515538479,0.05606514250503067,0.13280881276003953,2.0227507455452107,2881.163636363636,2873.309090909091,0.002726171243941842,0,0.005969810177705977
0.9,s3_2node_3x,lit_blacklist,1,84168,18.433372974395752,158413,0.02349086861466766,0.02304101041394091,0.038841697816685186,0.04628919489681523,0.0538562353738162,0.12790054025332687,2.008991535753487,2880.2363636363634,2874.3818181818183,0.002032661460864954,0,0.005921231212084867
0.9,s3_2node_3x,lit_blacklist,3,86227,18.288578987121582,157867,0.023183727749793555,0.02251438060780231,0.038915188709070486,0.04742012844372318,0.0573243837373818,0.14216187380466927,2.1062151017954207,2870.309090909091,2858.8,0.0040097043714012424,0,0.006005054887975321
0.9,s3_2node_3x,lit_blacklist,2,87802,19.149876356124878,158392,0.023153167683366498,0.022769766840381678,0.03810761861118621,0.0451481852149398,0.053008014565645134,0.1489101704457383,1.982812803110065,2879.8545454545456,2875.2363636363634,0.0016036163442598112,0,0.005947270064144654
0.9,s3_2node_3x,lit_blacklist,4,35092,18.72786569595337,157455,0.022773115282840345,0.02213845319068497,0.03822552506063452,0.04534224289970232,0.05211309442766025,0.12257303671671771,2.0481215426008457,2862.818181818182,2858.5636363636363,0.001486138896827665,0,0.005900098440824363
0.9,s3_2node_3x,lit_blacklist,5,20158,18.860194444656372,158343,0.023630909730921332,0.02309494219507613,0.039283590793989374,0.04702284081819057,0.054597793846982934,0.1280772076544281,2.036066616707787,2878.9636363636364,2871.4727272727273,0.0026019464074824904,0,0.005898587244147199
0.9,s3_2node_3x,lit_blacklist,6,33033,18.901226043701172,158914,0.02444836959134153,0.023961950426139467,0.040679431953921964,0.04897987979778968,0.05873428571916838,0.11997212901957788,2.0440689896578204,2889.3454545454547,2870.181818181818,0.006632518217400607,0,0.006003247039279107
0.9,s3_2node_3x,lit_blacklist,8,30974,18.34849762916565,157776,0.023114470361181822,0.022434296816516763,0.038850416776153196,0.046954296568368026,0.05591510062997763,0.14127934886149518,2.0929693920158416,2868.6545454545453,2859.672727272727,0.0031310211946050095,0,0.005938799310414765
0.9,s3_2node_3x,lit_blacklist,7,22217,18.816179990768433,158596,0.02384023711321914,0.02330938950764505,0.03958560097244046,0.04842517001618985,0.05770875406183633,0.14554003556266792,2.077496281071938,2883.5636363636363,2868.509090909091,0.005220812630835583,0,0.005908093520643648
0.9,s3_2node_3x,no_mitigation,0,48540,18.37466549873352,158301,0.022579540239014723,0.020157264970208644,0.037448280116123556,0.09544934310656039,0.13340472673233736,0.17153410708665007,4.735232842730866,2878.2,2818.090909090909,0.020884264786703813,0,0.026683343756514488
0.9,s3_2node_3x,lit_blacklist,9,56148,19.082969903945923,158182,0.02320723035390528,0.02269457913831907,0.038582120622093534,0.046017617055839004,0.05297737673598397,0.11363715797243223,2.027692021754205,2876.0363636363636,2871.2545454545457,0.0016626417670784286,0,0.005898269082449331
0.9,s3_2node_3x,no_mitigation,1,50115,18.789289474487305,158944,0.023065182607590128,0.02078494325095015,0.038118866767549164,0.09671117692538374,0.1371062065007949,0.19854810988373828,4.652943996898464,2889.890909090909,2828.909090909091,0.021101771693174953,0,0.026550231528085364
0.9,s3_2node_3x,no_mitigation,2,80182,19.520933866500854,159058,0.023320731676628455,0.021076398428717003,0.038599603989224546,0.09854445595540982,0.13883259238670073,0.17879126948147217,4.675583273332937,2891.9636363636364,2830.327272727273,0.021312980170755322,0,0.026562637528448743
0.9,s3_2node_3x,no_mitigation,3,16184,19.374980688095093,158748,0.023007333426985944,0.02079060355450757,0.03794709675087744,0.09705183016399664,0.1338665484900254,0.17418685755515995,4.668062180568828,2886.327272727273,2825.2545454545457,0.021159321692241793,0,0.026614508529241312
0.9,s3_2node_3x,no_mitigation,4,82241,18.852072954177856,158979,0.023217839062300905,0.020952280356894448,0.038603294447695904,0.09648950151668652,0.13688695278088656,0.21716328729604584,4.605202864467026,2890.5272727272727,2825.909090909091,0.022355153825348,0,0.026519225809698135
0.9,s3_2node_3x,no_mitigation,5,14125,19.045120000839233,158506,0.02291293172951075,0.020517270365658202,0.03815237391767834,0.09629292265871307,0.13664065770042377,0.1796117485486768,4.693261868785827,2881.927272727273,2820.5272727272727,0.02130518718534314,0,0.02680024730925012
0.9,s3_2node_3x,no_mitigation,6,83828,19.912219524383545,158562,0.022595909525882935,0.02025756324379202,0.037223597405953684,0.09444234796122238,0.1319014234114942,0.16868874977181036,4.662078396332514,2882.9454545454546,2822.8,0.020862501734337357,0,0.026708795297738425
0.9,s3_2node_3x,no_mitigation,7,14597,19.346425533294678,158542,0.02285181021752544,0.020568047091678476,0.0376780272996731,0.09664726955540522,0.13340534284095296,0.2093453382107633,4.698903552904993,2882.581818181818,2821.909090909091,0.021048050358895436,0,0.02674370198433223
0.9,s3_2node_3x,no_mitigation,8,18231,19.3320255279541,158271,0.02235936648973113,0.01996325830771184,0.03686968189341755,0.09428378272791153,0.12976274726558312,0.17826182801464796,4.7228654398310095,2877.6545454545453,2817.836363636364,0.020787130933651775,0,0.02667576498537319
0.9,s3_2node_3x,no_mitigation,9,16656,18.805492401123047,158739,0.023029984351889625,0.02077057825566797,0.038050539231836225,0.09702643640162763,0.13521983687447595,0.16733620873485933,4.671340162383327,2886.163636363636,2825.5454545454545,0.021003030131221692,0,0.02664751573337365
0.9,s4_4node_mixed,adaptive,0,61301,19.320518255233765,158210,0.033741922690172926,0.02957235327890473,0.0586058968540152,0.1528511336878563,0.21225474515743323,0.2875608210543277,5.168717289634565,2876.5454545454545,2643.818181818182,0.08090512609822388,0,0.05503444788572151
0.9,s4_4node_mixed,adaptive,1,3193,19.447844982147217,158726,0.04458470681768168,0.03826417332935428,0.07847154165441772,0.2618331029752037,0.39359973140939036,0.5239636814109865,6.842774328913542,2885.927272727273,2155.909090909091,0.25295792749770046,0,0.045216284666658266
0.9,s4_4node_mixed,adaptive,2,95232,19.450984239578247,158660,0.05044532517847912,0.04383818590468991,0.08565165193522221,0.2892875196478062,0.4206457310388704,0.5343657678384162,6.598984736201357,2884.7272727272725,1796.090909090909,0.3773793016513299,0,0.04314256901550485
0.9,s4_4node_mixed,adaptive,3,93657,19.573822736740112,158573,0.03131274341519906,0.027629252922707792,0.06315847532967066,0.11840686925823916,0.16149787627492873,0.2001256713364299,4.28556174100978,2883.1454545454544,2633.6,0.08655319631967612,0,0.0630561318761706
0.9,s4_4node_mixed,adaptive,4,97291,19.53012466430664,158073,0.036745041345102654,0.032119640685383644,0.06312954512038402,0.19120195447782404,0.29309878947975965,0.4129387094198371,5.952804900611244,2874.0545454545454,2540.8545454545456,0.115933777431946,0,0.05010343322389023
0.9,s4_4node_mixed,adaptive,5,27588,19.16198420524597,158322,0.03628360864595891,0.03127204955762686,0.06628418187896017,0.18245129319109327,0.2783491609646094,0.38890923532868626,5.834324765151049,2878.581818181818,2510.7272727272725,0.12779019971955888,0,0.053031164335973525
