experiment,config_label,baseline,p99_mean,p99_std,p999_mean,slo_viol,throughput,p99_ms
E3_load_sweep,L=0.8,fixed_shedding,0.03407784329482405,0.0007779388955640782,0.05681610988596558,0.0016407154469015102,1278.706,34.07784329482405
E3_load_sweep,L=0.8,no_mitigation,0.07546115518008145,0.0008598216013796161,0.10560580940612958,0.021747582212796275,1280.036,75.46115518008145
E3_load_sweep,L=0.85,adaptive,0.044046856692603276,0.01391977367669096,0.07989570582753214,0.005601779604657604,1358.7540000000001,44.04685669260328
E3_load_sweep,L=0.85,fixed_isolation,0.03950601200244416,0.0011959906657854809,0.07579485451353091,0.0035009435316368104,1358.772,39.506012002444166
E3_load_sweep,L=0.85,fixed_shedding,0.03950601200244416,0.0011959906657854804,0.07579485451353091,0.0035009435316368104,1358.772,39.506012002444166
E3_load_sweep,L=0.85,no_mitigation,0.08339916862514977,0.000975649328793732,0.11685174292448255,0.02254166828367577,1359.44,83.39916862514977
E4_multi_fault,f=1,adaptive,0.02691804358342857,0.00011604694032325896,0.02982006003041853,1.8730558088848716e-05,2240.366,26.918043583428567
E4_multi_fault,f=1,fixed_isolation,0.02691804358342857,0.00011604694032325919,0.02982006003041853,1.8730558088848716e-05,2240.366,26.918043583428567
E4_multi_fault,f=1,fixed_shedding,0.026923897263052964,0.00012075204232403748,0.02991016646030565,1.9642962383757205e-05,2238.546,26.923897263052964
E4_multi_fault,f=1,no_mitigation,0.03221414620269185,0.0003219100375784555,0.05191448867215468,0.0013035605474149595,2240.464,32.21414620269185
E4_multi_fault,f=2,adaptive,0.027623135098793494,0.00012125858299030449,0.031629714932740895,4.4587337545385155e-05,2239.618,27.623135098793494
E4_multi_fault,f=2,fixed_isolation,0.027623135098793494,0.00012125858299030535,0.031629714932740895,4.4587337545385155e-05,2239.618,27.623135098793494
E4_multi_fault,f=2,fixed_shedding,0.02806493353273099,0.0001535510554372792,0.036692942151355844,5.9200148970390666e-05,2227.044,28.06493353273099
