slowdown,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
1.05,no_mitigation,5,39889,19.71857762336731,127555,0.014717677858560579,0.013701870988377607,0.024716165302139353,0.028667944515914385,0.033443043558324,0.04736648462562698,2.0922649571165506,2551.1,2551.1,0.0,0,0.03004978244678766
1.05,no_mitigation,7,73820,18.965968370437622,128459,0.014897514354896097,0.013984627002464833,0.025174186246587026,0.028926140393983245,0.03434064241070484,0.0398757835376955,2.0684241623952446,2569.18,2569.18,0.0,0,0.029939513774823096
1.05,fixed_speculation,0,12431,17.294389486312866,128159,0.014897818561875874,0.01395399787464946,0.025253456982245837,0.028954907196345157,0.034707549932660973,0.04147787488065546,2.0750259141825,2563.18,2563.18,0.0,0,0.03015785079471594
1.05,no_mitigation,8,72245,22.032576084136963,127796,0.014795116181082103,0.013773910496860609,0.02504494390769807,0.02896602574728338,0.03471730558851602,0.03999064776856187,2.1029631166752103,2555.92,2555.92,0.0,0,0.03017308835957307
1.05,fixed_speculation,1,42819,20.63951587677002,127885,0.014836847813085125,0.01385469094216063,0.0250700562411307,0.028921509083579915,0.03416064056283168,0.045525353468256924,2.0874885772854075,2557.7,2557.7,0.0,0,0.030699456542987842
1.05,fixed_speculation,3,76750,16.97544002532959,128084,0.014846636988949766,0.013883126902399567,0.025056188765341852,0.028921744682334133,0.03429240577927397,0.039983580778084615,2.083229872179248,2561.68,2561.68,0.0,0,0.030347272102682614
1.05,fixed_speculation,2,10372,19.71130681037903,128544,0.014917196077256698,0.013977117373880077,0.025238954728118834,0.02903502695013259,0.03476424026461368,0.04164502434841921,2.077325830030746,2570.88,2570.88,0.0,0,0.030674321633059498
1.05,fixed_speculation,5,78016,17.85519027709961,128024,0.01480511734888706,0.01380537244589597,0.02497750140546966,0.028874152800032395,0.03389661139407342,0.03972488519588069,2.091515669946017,2560.48,2560.48,0.0,0,0.030455227144910328
1.05,fixed_speculation,6,74382,17.890179872512817,127564,0.014760938497942635,0.013761988419426885,0.024808443264158698,0.028778709258073215,0.033338466216022274,0.04517781555890821,2.0911737738020637,2551.28,2551.28,0.0,0,0.030212285597817565
1.05,fixed_speculation,7,44085,18.53455948829651,127629,0.014808158734823926,0.013828701093945739,0.024942790428232796,0.028844767011521243,0.03424420268649736,0.03992819965759509,2.0858623536341816,2552.58,2552.58,0.0,0,0.030494636798846658
1.05,fixed_shedding,0,1985,17.48581624031067,127834,0.014777932996270254,0.013768171968983722,0.024909103082477287,0.028764472825118043,0.03396190535984657,0.04118723654995904,2.0892005772383775,2556.68,2556.68,0.0,0,0.030422266376707294
1.05,fixed_shedding,3,87196,16.44551730155945,127917,0.014826655865981468,0.013819277135688424,0.025116343471774622,0.028948389762136838,0.03478448372237664,0.04158612118686733,2.094783213181052,2558.34,2558.34,0.0,0,0.03048070233041738
1.05,fixed_shedding,1,53265,17.51149559020996,128678,0.01487817942269558,0.013932572862929149,0.02514195740783478,0.02893118460272688,0.03470096137919407,0.04457428845761768,2.0765141433212975,2573.56,2573.56,0.0,0,0.030075071107726264
